distance_km,avg_speed_kmh,vehicle_load_kg,engine_size,vehicle_age,fuel_consumption_liters
587,78,19532,3.0,41,98.62019285714285
201,55,12060,1.8,41,20.555308695652176
589,63,17561,1.8,41,60.23421304347826
765,70,29708,2.7,41,89.967825
305,53,21647,2.7,41,35.869525
676,71,20956,1.8,41,66.25081666666667
601,52,25846,2.7,41,67.31486190476191
755,77,11968,1.8,41,73.99314583333334
361,56,23436,2.7,41,40.43371904761905
401,75,9946,2.7,41,47.159605
469,57,20068,3.2,41,61.28527222222222
470,58,27209,2.7,41,55.274350000000005
655,46,18732,3.2,41,85.59030555555555
661,69,27428,3.2,41,86.37433888888889
451,51,9089,3.2,41,58.93317222222222
495,50,5357,3.2,41,64.68275
537,68,18999,3.2,41,70.17098333333334
252,42,10505,2.5,41,25.770834782608695
416,73,25804,3.0,41,48.923680000000004
387,73,13942,4.3,41,36.410508
579,70,20840,2.5,41,59.21156086956522
692,61,8250,3.0,41,90.42517777777778
240,41,27946,4.3,41,23.521
356,66,7258,3.8,41,44.07092631578948
214,75,14102,3.8,41,26.492073684210528
264,71,25194,4.3,41,25.8731
720,74,5583,2.5,41,76.97781818181818
543,56,24822,3.0,41,75.12884117647059
328,73,19501,4.3,41,30.859552000000004
847,65,27741,2.5,41,90.55584999999999
671,49,15768,3.0,41,92.83877058823529
262,78,27530,4.3,41,25.677091666666666
338,48,26374,3.8,41,41.842621052631586
698,64,20231,3.8,41,86.40872631578948
792,59,23167,4.3,41,77.61930000000001
591,54,22477,5.0,41,86.88069375
874,79,25916,5.7,41,97.8921619047619
618,66,20737,5.0,41,96.90652
488,50,10117,4.1,41,71.73905
578,55,12938,5.0,41,84.9696125
689,69,15333,5.7,41,77.17128095238095
430,61,19922,4.1,41,63.2126875
240,63,11746,5.0,41,37.6336
227,63,23517,4.3,41,22.246945833333335
334,75,11120,3.8,41,46.21184705882353
400,57,7477,5.0,41,58.8025
232,59,26342,3.8,41,32.09924705882353
247,47,11137,5.0,41,36.31054375
702,54,7876,4.1,41,103.19838750000001
606,52,5042,5.0,41,89.08578750000001
773,75,10829,5.7,41,86.57968095238097
298,53,24825,4.1,41,43.8078625
883,63,13595,5.0,41,129.80651875
746,76,18493,3.8,41,92.35087368421053
812,63,15408,3.8,41,106.10584444444444
661,57,27730,3.8,41,97.17113125
842,71,11849,4.1,41,116.49812941176471
204,74,11686,4.3,41,20.86210434782609
417,59,15341,5.7,41,46.70598571428572
702,71,24034,3.8,41,103.19838750000001
597,76,25729,4.1,41,82.60021764705881
592,76,20661,4.3,41,63.29287272727272
406,72,22261,3.8,41,63.66350666666667
214,40,6886,4.1,41,33.556626666666666
753,67,6303,5.0,41,110.69570625
660,66,23124,5.7,41,73.92314285714286
890,56,22496,4.1,41,139.55793333333332
774,54,25260,5.0,41,113.7828375
440,53,27424,3.8,41,68.99493333333334
763,70,12452,4.1,41,119.64348666666666
295,73,11118,5.0,41,43.36684375
684,42,13439,4.1,41,107.25576000000001
606,51,28179,5.0,41,89.08578750000001
430,65,28428,1.8,41,42.14179166666667
854,63,16452,1.8,41,100.43467000000001
370,73,19426,2.0,41,34.811080000000004
740,47,5567,1.8,41,72.52308333333333
235,51,27342,1.8,41,27.637175000000003
724,48,14380,2.0,41,77.40547272727272
359,65,6353,1.8,41,38.381995454545454
898,77,16804,2.0,41,84.48743200000001
442,58,19415,1.8,41,47.255827272727274
285,60,26413,2.0,41,27.9311875
777,52,9965,1.8,41,70.29160384615386
881,74,5168,1.8,41,79.70000384615386
756,42,29096,1.8,41,74.09115000000001
773,64,16356,2.0,41,86.57968095238097
845,71,7671,1.8,41,82.81352083333333
227,60,21762,2.0,41,25.425080952380952
819,53,6932,2.0,41,83.75521304347826
755,70,19213,2.0,41,77.21023913043479
539,47,5193,1.8,41,48.76084230769231
530,46,29839,1.8,41,47.94665384615385
839,75,15207,2.5,41,85.80051739130435
705,74,9616,2.8,41,87.27528947368423
547,58,10014,2.5,41,55.93907391304347
672,41,12878,2.8,41,83.19006315789474
430,44,19814,2.5,41,43.974043478260874
389,41,22684,2.8,41,48.156152631578955
424,57,8200,2.5,41,43.360452173913046
584,54,8373,2.8,41,68.68132
576,55,14729,4.1,41,84.67559999999999
482,51,6383,5.7,41,53.986295238095245
832,75,20178,4.1,41,122.3092
827,61,24921,2.0,41,92.6279380952381
458,67,12924,2.0,41,51.29818095238095
558,79,16351,2.0,41,52.498872
655,61,9991,2.0,41,61.625020000000006
610,43,10202,4.1,41,84.39888235294119
848,51,25316,5.7,41,94.9800380952381
517,60,8622,4.1,41,76.00223125000001
876,66,14087,4.1,41,128.777475
424,62,21848,4.1,41,62.330650000000006
433,66,29364,4.3,41,42.435804166666664
883,80,6610,6.0,41,230.76714444444445
863,55,13804,4.1,41,119.40366470588235
573,71,21988,5.7,41,64.17872857142858
871,75,29351,4.1,41,128.04244375
807,56,5620,4.1,41,126.54298
671,57,20335,5.0,41,112.73279285714285
432,66,7602,4.1,41,63.5067
891,46,27857,5.0,41,139.71474
312,80,25184,6.2,41,38.62395789473685
696,77,12098,4.1,41,109.13744000000001
641,59,27922,5.0,41,107.69257857142857
763,74,5155,6.2,41,94.45538421052632
467,72,13160,4.1,41,64.61357058823529
709,65,20398,5.0,41,111.17592666666667
585,63,11681,4.1,41,91.73190000000001
586,63,20903,4.1,41,81.07827058823528
312,70,16309,5.0,41,45.865950000000005
812,66,7715,6.2,41,95.49526
824,48,9339,6.2,41,102.00686315789476
280,41,13070,4.1,41,43.90586666666667
898,45,28074,6.2,41,105.60929
312,70,5449,4.1,41,43.16795294117647
201,64,20106,5.0,41,31.518140000000002
841,55,6069,4.1,41,141.29400714285714
419,45,9017,5.0,41,70.39499285714285
765,62,7819,6.2,41,94.70297368421053
424,44,18582,5.7,41,76.71464615384616
584,56,18867,6.2,41,72.29612631578948
602,48,23669,4.1,41,101.14029999999998
837,65,15227,5.0,41,151.43905384615385
329,52,14382,6.2,41,38.692045
252,46,22783,6.2,41,32.9294
883,79,20947,6.2,41,109.31075263157896
871,57,16932,2.5,41,93.12177727272727
615,76,23632,2.8,41,76.13376315789475
446,63,15985,5.0,41,61.70803529411764
638,71,11375,2.5,41,68.2109
402,46,20805,2.8,41,49.76548421052632
383,59,22107,5.0,41,52.9914294117647
322,73,14633,2.5,41,34.42619090909091
600,58,10273,2.5,41,64.14818181818183
493,53,12535,2.5,41,52.708422727272726
479,71,9820,2.8,41,62.591994444444445
809,48,21470,5.0,41,126.85659333333334
397,75,29081,2.5,41,42.44471363636364
710,65,11846,2.8,41,92.77727777777778
343,59,20155,5.0,41,53.784686666666666
808,68,9149,5.0,41,126.69978666666668
400,55,23135,5.7,41,44.80190476190476
323,70,10161,5.0,41,47.48301875
386,63,8420,2.0,41,36.316424000000005
525,69,26221,2.0,41,56.12965909090909
663,47,20029,2.0,41,62.377692
548,65,23867,2.0,41,47.738918518518524
859,54,8212,2.0,41,84.18557916666667
602,49,20647,2.0,41,56.63856800000001
545,75,8922,2.0,41,51.275780000000005
710,78,19929,2.0,41,79.52338095238096
346,63,27694,2.0,41,38.75364761904763
347,47,11042,2.0,41,32.647148
688,40,13013,2.0,41,67.42686666666667
839,49,14678,2.0,41,78.936476
750,62,24911,2.0,41,70.563
537,77,29648,2.0,41,50.523108
840,49,8754,2.0,41,89.80745454545455
672,72,29546,2.0,41,63.224448
350,70,16187,2.0,41,34.301458333333336
614,77,9365,2.0,41,57.767576
497,52,29794,2.0,41,46.759748
810,74,21007,2.5,41,82.83482608695653
462,71,5546,2.8,41,57.19316842105263
343,61,8729,4.3,41,32.270812
545,46,12350,2.5,41,55.734543478260875
823,45,18389,2.8,41,101.88306842105263
771,80,19643,4.3,41,75.5612125
201,55,27268,4.3,41,19.6988375
503,51,20687,2.5,41,51.439404347826084
453,48,6968,2.5,41,46.326143478260875
851,79,9516,2.5,41,87.02770000000001
652,44,6259,2.8,41,85.1982888888889
236,42,19145,4.3,41,22.203824
359,75,28376,2.5,41,36.71321304347826
208,49,29140,2.8,41,27.179822222222224
432,47,24317,4.3,41,42.337799999999994
298,48,7509,2.8,41,36.89083157894737
858,52,17200,2.8,41,112.11676666666666
407,58,17264,4.3,41,39.88769583333334
330,62,22946,2.5,41,33.747521739130434
603,63,15277,2.5,41,61.665926086956524
351,42,29459,1.6,41,31.753350000000005
253,72,8669,1.8,41,19.836043333333336
319,62,23865,1.6,41,31.26332916666667
872,53,16622,1.6,41,75.96411851851852
827,58,28582,1.6,41,77.807468
786,72,21588,1.6,41,68.47224444444444
824,62,20040,1.8,41,53.83695555555555
619,66,22125,1.8,41,40.44305277777777
621,51,16080,2.5,41,63.5067
303,46,12049,2.8,41,37.509805263157894
453,75,20516,2.5,41,46.326143478260875
426,57,9263,2.8,41,52.73655789473684
311,55,29221,2.5,41,30.479295833333335
709,53,9737,2.8,41,87.77046842105264
672,60,22489,2.5,41,65.8588
298,66,21027,2.8,41,35.04629
352,64,11830,5.7,41,55.19594666666667
537,77,15015,5.7,41,84.20518
362,54,9197,5.7,41,56.76401333333333
880,49,20095,5.7,41,137.98986666666667
360,69,20053,3.8,41,49.809176470588234
779,48,21472,5.0,41,122.15239333333334
597,67,27872,5.7,41,70.210185
476,57,24765,3.8,41,65.8588
703,50,16703,5.0,41,110.23508666666666
591,77,15398,3.8,41,77.22728333333333
334,41,24569,5.0,41,46.21184705882353
394,61,28063,5.7,41,44.129876190476196
600,62,11306,5.0,41,83.01529411764706
839,59,17573,4.1,41,140.95799285714284
232,68,22248,5.0,41,41.97593846153846
887,65,13246,4.1,41,149.0223357142857
659,80,26055,5.0,41,119.23337692307695
669,51,21941,5.7,41,121.04268461538463
574,68,18018,6.2,41,75.00585555555556
221,58,18088,5.7,41,39.98570000000001
869,73,25675,6.2,41,120.23381764705883
237,66,21124,4.1,41,39.81769285714286
429,69,21831,6.2,41,56.05838333333333
564,76,6821,6.2,41,69.82023157894737
762,70,8819,4.1,41,119.48667999999999
637,67,16164,5.0,41,107.02055
482,64,21475,4.1,41,75.58081333333334
226,45,21991,5.0,41,35.43830666666667
425,46,14443,6.2,41,52.61276315789474
476,45,21669,4.1,41,74.63997333333333
808,74,24305,5.0,41,135.74977142857142
483,64,16498,6.2,41,59.79285789473684
680,60,5101,4.1,41,99.96425
652,56,8835,5.0,41,102.23794666666667
858,80,29553,4.1,41,134.54012
715,65,9235,4.1,41,105.10946874999999
746,80,18122,5.0,41,109.6666625
391,56,17015,6.2,41,45.983555
248,46,19601,4.1,41,38.88805333333334
711,64,12509,6.2,41,88.01805789473684
216,73,11716,5.7,41,46.18669090909091
371,65,21918,5.7,41,79.32991818181819
419,45,28050,4.1,41,70.39499285714285
357,49,13207,4.1,41,59.97855
676,56,13752,3.8,41,93.53056470588236
245,53,7925,5.0,41,36.01653125
572,42,5909,5.7,41,64.06672380952382
717,55,14605,3.8,41,99.20327647058825
298,44,19505,5.0,41,43.8078625
236,62,10008,5.0,41,34.69347500000001
479,66,5118,5.7,41,80.47542142857142
548,44,8113,5.7,41,61.37860952380953
696,76,16252,5.0,41,96.2977411764706
501,77,11153,4.1,41,78.56014
380,57,19765,5.0,41,63.84271428571428
806,51,22875,6.2,41,105.32181111111112
298,60,23480,5.7,41,53.91736923076924
899,46,12944,6.2,41,124.38458235294118
315,56,7254,4.1,41,52.92224999999999
390,48,21038,4.1,41,65.5227857142857
452,80,20939,5.0,41,81.7807076923077
360,63,27487,5.0,41,60.482571428571426
455,50,6233,6.2,41,59.455861111111105
522,64,26642,6.2,41,72.22330588235295
327,76,10631,6.2,41,42.729816666666665
217,46,24733,5.7,41,42.53380833333333
765,56,19515,6.2,41,99.96424999999999
769,80,5129,5.7,41,150.73040833333334
522,58,8716,6.2,41,68.2109
885,60,28138,6.2,41,122.44755882352942
825,48,25127,5.0,41,138.60589285714286
487,47,23155,6.2,41,63.63737222222222
862,66,25838,5.7,41,168.95918333333336
838,62,28154,6.2,41,123.1912375
354,49,16267,5.0,41,59.47452857142857
689,41,28634,3.8,41,90.03316111111111
585,46,10273,5.0,41,91.73190000000001
303,41,13697,5.7,41,33.93744285714286
592,55,10628,3.8,41,77.35795555555555
445,45,9913,5.0,41,65.41778125
375,55,18081,3.8,41,49.00208333333333
238,64,17063,5.0,41,32.9294
676,49,9718,5.7,41,75.71521904761906
881,48,24060,5.0,41,121.89412352941177
737,71,5096,2.0,41,82.54750952380954
607,71,23347,2.8,41,79.31803888888889
724,41,10401,2.8,41,89.62738947368422
705,60,29151,2.0,41,78.96335714285715
235,42,16058,2.8,41,30.70797222222222
884,73,17218,2.0,41,94.51165454545455
219,68,21982,2.8,41,28.617216666666668
520,59,8963,2.0,41,55.595090909090914
711,62,18854,2.8,41,92.90795
599,76,28677,2.0,41,61.25686521739131
853,47,16973,2.8,41,111.46340555555554
670,75,6324,2.8,41,121.2236153846154
342,53,15606,2.8,41,57.458442857142856
291,62,19140,2.0,41,45.63074
553,66,29495,2.8,41,100.05471538461539
250,54,23151,2.0,41,29.40125
864,74,10164,2.0,41,101.61072
897,61,6339,2.8,41,117.21298333333334
774,75,20548,2.8,41,95.81712631578948
389,54,17286,2.0,41,38.123620833333334
324,71,16595,2.0,41,36.28954285714286
349,80,18629,2.2,41,29.31724642857143
513,57,18721,2.8,41,67.03484999999999
769,70,11466,2.0,41,78.64195217391304
541,80,10463,2.2,41,45.445932142857146
504,75,10490,2.8,41,65.8588
891,64,25445,2.0,41,80.6046576923077
881,49,17843,2.0,41,94.19091363636363
253,79,28988,2.2,41,20.520044827586208
643,53,22654,2.8,41,84.0222388888889
812,65,5218,2.0,41,83.03935652173914
463,58,5533,2.2,41,38.89365357142857
252,69,19977,2.8,41,31.196273684210528
771,78,19854,2.8,41,100.74828333333333
819,51,12951,2.8,41,107.02055
204,70,14565,5.0,41,36.90987692307693
302,57,25207,5.7,41,54.64109230769232
395,41,21448,6.2,41,51.61552777777778
549,53,9341,5.7,41,99.33099230769233
246,59,10082,6.2,41,34.03627058823529
855,78,18896,5.7,41,167.58712500000001
468,59,16334,6.2,41,68.798925
569,73,21068,5.7,41,111.52874166666666
835,73,24369,6.2,41,122.75021875
305,76,10594,5.7,41,65.21731818181819
869,42,25297,2.8,41,113.55416111111111
858,74,29401,2.8,41,112.11676666666666
856,72,16846,2.0,41,100.66988
319,58,20582,2.8,41,44.136464705882354
803,70,25639,2.0,41,94.43681500000001
257,61,22388,2.8,41,35.558217647058825
545,66,23506,2.0,41,64.094725
673,77,17766,2.8,41,93.11548823529412
316,67,11696,2.0,41,37.163180000000004
326,60,8981,2.8,41,45.104976470588234
592,59,21855,2.8,41,77.35795555555555
840,77,24789,2.8,41,109.76466666666667
257,52,5308,2.0,41,30.224485
833,68,12695,2.8,41,115.25290000000001
712,60,12707,2.0,41,83.73476000000001
295,72,20522,2.8,41,40.81585294117647
837,71,8047,2.0,41,98.43538500000001
317,67,16191,2.8,41,41.423094444444445
759,53,7017,2.0,41,89.262195
800,61,18366,2.8,41,104.53777777777778
687,76,9881,2.2,41,73.44966818181818
436,73,6478,2.2,41,53.9745052631579
471,56,25581,2.6,41,55.391954999999996
388,72,29105,2.2,41,43.45784761904763
646,72,9870,2.2,41,79.9714
780,77,24843,2.6,41,96.55989473684211
446,65,16946,2.6,41,58.279811111111115
275,78,14423,2.6,41,38.048676470588234
353,46,10434,2.2,41,37.74051363636364
855,64,5571,2.2,41,105.84450000000001
634,69,24973,2.2,41,71.01101904761906
285,80,13339,2.2,41,35.2815
896,72,27302,2.2,41,95.79461818181818
484,78,16635,2.2,41,56.920820000000006
419,67,5596,2.2,41,42.849126086956524
268,57,26457,2.2,41,31.518140000000002
246,49,22454,2.2,41,26.30075454545455
293,41,19834,2.2,41,31.325695454545453
652,53,9250,2.2,41,80.71416842105263
403,52,25709,2.6,41,47.394815
417,40,8371,2.2,41,46.70598571428572
673,71,5157,2.2,41,83.31385789473684
631,64,21032,2.2,41,70.67500476190476
540,49,8318,2.6,41,66.84915789473685
750,54,28095,2.2,41,73.503125
811,68,18462,2.2,41,82.93709130434783
488,56,17242,2.2,41,45.912992
453,79,12221,2.2,41,48.43187727272727
556,62,13957,2.2,41,62.27464761904763
222,46,16843,2.2,41,23.73482727272727
721,75,7612,2.2,41,89.25600526315789
299,45,25946,2.6,41,35.163895000000004
379,41,17020,2.2,41,42.44980476190476
422,71,17773,2.2,41,52.24137894736842
858,44,5443,2.2,41,96.10008571428573
641,58,10973,2.6,41,79.35242631578949
807,41,22288,5.2,41,126.54298
524,62,7910,5.2,41,82.16669333333333
715,79,16401,2.2,41,80.08340476190477
215,43,6801,2.6,41,25.285075000000003
535,43,22309,2.2,41,59.92254761904763
457,50,16913,2.6,41,56.57419473684211
696,80,19265,2.2,41,71.17659130434782
359,59,29235,2.2,41,38.381995454545454
674,53,21056,2.2,41,83.43765263157894
863,74,27314,2.6,41,101.493115
889,53,14426,2.2,41,99.57223333333333
874,42,7922,2.2,41,97.8921619047619
579,54,12555,2.2,41,71.67715263157896
744,60,14776,2.6,41,92.10328421052633
890,41,5919,2.2,41,87.22370833333335
626,60,10004,2.2,41,66.92793636363636
812,49,25603,2.2,41,95.49526
467,66,29643,2.2,41,43.937228000000005
776,58,25954,2.2,41,82.96498181818183
616,51,25837,2.2,41,72.44468
367,55,14958,2.2,41,41.10574761904763
242,47,10575,2.2,41,25.8731
755,76,23337,2.2,41,93.46502631578947
484,64,23952,2.6,41,56.920820000000006
596,63,12945,2.2,41,66.7548380952381
211,79,25092,2.2,41,26.12068947368421
806,57,19194,2.2,41,90.2758380952381
501,60,26312,2.6,41,62.02116315789474
452,47,15863,5.2,41,88.59576666666668
698,58,20857,5.2,41,149.25143636363637
234,69,24783,5.9,41,50.03558181818182
289,66,27954,5.2,41,56.64640833333334
804,75,21826,5.9,41,171.91712727272727
801,75,5600,2.2,41,81.91443913043479
617,65,17134,2.6,41,72.562285
314,59,20290,2.2,41,35.169495238095244
816,80,16580,2.6,41,101.01650526315791
395,53,25966,2.2,41,37.163180000000004
700,72,21037,2.2,41,68.60291666666667
825,48,7786,2.2,41,80.8534375
692,62,24079,2.2,41,65.106128
274,69,20231,2.2,41,28.02066956521739
612,67,16840,2.6,41,71.97426
575,70,7052,2.2,41,64.4027380952381
619,65,5631,2.6,41,76.62894210526316
476,75,8442,2.2,41,44.783984000000004
875,75,6754,2.2,41,85.75364583333334
593,50,28404,2.2,41,58.11647083333333
656,51,16225,2.2,41,61.71910400000001
391,41,14770,5.2,41,83.60646363636364
888,79,18499,5.9,41,208.86648000000002
298,43,5025,5.2,41,63.720527272727274
747,71,29330,5.9,41,175.70187
295,80,15401,5.2,41,63.07904545454546
863,73,12297,3.7,41,135.32415333333336
862,44,19868,5.2,41,168.95918333333336
389,44,11553,5.2,41,83.17880909090908
236,43,10759,5.9,41,50.46323636363636
568,80,12755,3.7,41,102.76867692307692
894,51,18384,5.2,41,175.23145
724,74,6129,3.7,41,100.17178823529412
478,76,9996,5.2,41,86.4849076923077
416,73,17296,3.7,41,75.26720000000002
472,67,25529,5.2,41,79.29937142857143
261,46,10641,3.7,41,43.84986428571428
795,79,27281,5.2,41,155.826625
541,50,18901,5.9,41,127.24861000000001
596,71,19371,3.7,41,107.83473846153848
898,71,12369,5.2,41,176.01548333333332
218,70,8895,3.7,41,32.0473625
376,59,19453,5.2,41,73.69913333333334
811,45,9797,3.7,41,146.73485384615387
595,57,18041,5.2,41,107.65380769230771
644,60,6828,5.2,41,126.22936666666666
432,42,14727,5.2,41,92.37338181818183
275,80,17517,5.9,41,58.8025
464,67,21943,5.2,41,90.94786666666667
654,67,15070,5.2,41,128.18945
583,71,14276,5.9,41,152.36381111111112
763,78,25298,5.2,41,179.46523000000002
705,63,29814,2.2,41,87.27528947368423
566,46,13050,2.6,41,73.96047777777778
343,58,14663,2.2,41,40.338515
268,40,11900,2.2,41,28.65285454545455
298,72,10587,2.2,41,31.860263636363637
595,72,26796,2.2,41,63.61361363636363
224,50,20784,2.2,41,25.089066666666668
668,62,9612,2.2,41,68.3131652173913
683,67,8683,2.2,41,76.49925238095238
764,56,13396,1.6,41,59.90014666666667
350,49,12347,1.6,41,28.387413793103452
343,47,24984,2.2,41,33.615429166666665
768,48,15329,2.2,41,72.256512
238,58,28027,1.6,41,21.530761538461544
308,47,22597,1.6,41,27.863338461538465
892,44,28731,1.4,41,61.70803529411764
241,53,19072,1.4,41,17.177457575757575
385,72,17026,1.4,41,29.211564516129034
597,77,8091,1.6,41,56.168148
422,51,22766,1.4,41,33.08620666666667
833,42,25064,1.6,41,78.371972
332,79,19045,2.0,41,33.952052173913046
362,68,13198,2.0,41,38.70273636363636
414,61,8498,2.0,41,40.573724999999996
434,73,29871,2.0,41,44.38310434782609
857,45,19905,2.0,41,80.629988
787,74,10506,2.0,41,77.12927916666666
208,78,29839,2.6,41,25.749305263157897
273,55,7137,2.6,41,33.79596315789474
691,70,29039,2.6,41,85.54216315789473
452,54,20946,2.6,41,55.955221052631586
429,40,29508,2.6,41,53.10794210526316
718,59,26332,2.6,41,88.88462105263159
373,62,20620,3.7,41,58.488886666666666
852,59,19823,5.2,41,166.9991
367,71,8865,5.2,41,78.47460909090908
369,64,10460,5.9,41,78.90226363636364
592,47,26832,3.7,41,107.1110153846154
833,72,9496,5.2,41,163.27494166666668
393,69,25836,5.9,41,84.03411818181817
716,42,11898,3.7,41,105.25647500000001
228,63,7546,3.7,41,35.75192
364,51,9929,5.2,41,65.85880000000002
621,70,17722,5.2,41,121.721175
538,46,29694,3.7,41,97.34075384615386
847,79,12214,5.2,41,142.30205
695,56,18310,5.2,41,136.22579166666665
564,49,7395,3.7,41,88.43896000000001
541,54,29055,5.2,41,106.04050833333335
699,60,19874,5.2,41,149.46526363636363
856,60,26898,5.9,41,183.03614545454545
710,68,6702,5.2,41,139.16591666666667
526,80,25058,3.7,41,82.48030666666668
416,40,13494,5.2,41,88.95214545454546
500,60,19537,5.2,41,98.00416666666668
331,44,17259,5.9,41,77.85451
269,54,20892,2.2,41,28.75976818181818
451,65,25635,2.2,41,55.83142631578948
614,50,5013,2.2,41,68.77092380952381
644,60,28571,2.2,41,79.72381052631579
381,45,24187,2.2,41,38.96304782608696
366,43,22272,2.2,41,43.04343
290,60,16720,2.2,41,31.00495454545455
730,56,14388,2.2,41,85.85165
238,70,9540,5.2,41,37.319986666666665
325,62,13090,5.2,41,58.80250000000001
650,71,7169,5.2,41,101.92433333333334
372,75,16760,2.2,41,38.04266086956522
852,73,15423,2.2,41,95.42805714285714
419,45,15035,1.6,41,32.85099666666667
837,77,25035,1.6,41,67.88647241379311
257,61,13017,2.2,41,23.24960384615385
859,72,15910,2.2,41,80.818156
675,50,29624,2.6,41,93.39220588235294
655,62,5180,2.6,41,90.6250294117647
560,75,25262,2.6,41,77.4809411764706
200,67,8464,2.0,41,24.758947368421055
586,58,16611,2.0,41,68.91653000000001
547,52,21913,2.0,41,67.7157210526316
389,52,27155,2.3,41,36.598676
704,47,26063,2.6,41,91.99324444444444
390,52,19806,2.6,41,48.279947368421055
707,74,19065,2.3,41,72.30150869565217
568,66,29324,2.6,41,74.22182222222222
608,50,6286,2.0,41,71.50384
316,60,7190,2.0,41,39.11913684210527
333,47,13898,2.6,41,43.513850000000005
257,65,16409,2.6,41,30.224485
755,69,29869,2.0,41,93.46502631578947
884,61,22945,2.6,41,115.51424444444444
871,78,10628,2.0,41,93.12177727272727
372,49,18882,2.0,41,41.66577142857143
348,65,23995,2.0,41,38.97765714285715
279,66,27944,2.0,41,27.343162500000002
412,61,5660,2.0,41,42.13326956521739
402,52,20248,2.3,41,33.76943571428571
428,78,24562,2.6,41,50.33494
875,46,8389,2.6,41,102.904375
426,51,15298,2.0,41,43.56498260869566
858,52,8063,2.3,41,80.724072
731,51,27785,2.6,41,85.96925500000002
640,51,29511,2.2,41,71.68304761904763
601,77,7840,2.2,41,67.31486190476191
246,42,15770,2.2,41,25.15724347826087
432,47,27693,2.2,41,44.178573913043486
504,70,28576,2.2,41,51.54166956521739
725,52,27438,5.2,41,155.02477272727273
342,47,11146,5.2,41,73.12892727272727
614,76,27945,5.9,41,144.41894
712,63,16145,5.2,41,152.24501818181818
572,67,29944,5.9,41,134.54012
765,43,21922,3.7,41,128.5254642857143
458,55,24311,5.2,41,97.93289090909091
855,57,23777,5.2,41,167.58712500000001
670,43,22280,5.2,41,143.26427272727273
211,79,28251,5.9,41,49.629310000000004
529,72,11345,5.2,41,113.11462727272726
557,66,23752,4.9,41,100.77843846153849
607,75,25943,5.0,41,129.79315454545454
867,43,18322,5.8,41,203.92707000000001
572,75,12747,5.8,41,122.3092
207,52,23764,4.9,41,37.45266923076923
321,53,21398,5.0,41,68.63855454545454
547,76,16320,5.8,41,128.65987
875,45,8135,4.9,41,137.20583333333335
289,53,7277,4.9,41,48.55406428571428
847,42,13202,5.0,41,153.24836153846155
897,64,6656,5.0,41,175.819475
515,73,14439,5.8,41,100.94429166666667
